Batch,Parameter,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,D10,D11,D12,D13,D14,D15,D16,D17
500L_GMP,VCD,0.987,2.02,,,,,,,,,,,,,,,,
500L_GMP,VIA,98.7,99.1,,,,,,,,,,,,,,,,
500L_GMP,Gluc,5.7,5.19,,,,,,,,,,,,,,,,
500L_GMP,Lac,0.28,0.71,,,,,,,,,,,,,,,,
500L_GMP,NH4,0.838,0.918,,,,,,,,,,,,,,,,
500L_GMP,pH,7.23,7.24,,,,,,,,,,,,,,,,
500L_GMP,pCO2,35.5,22,,,,,,,,,,,,,,,,
500L_GMP,OSM,296,288,,,,,,,,,,,,,,,,
5L_Satellite,VCD,0.97,2.08,,,,,,,,,,,,,,,,
5L_Satellite,VIA,99.7,99.6,,,,,,,,,,,,,,,,
5L_Satellite,Gluc,5.5,5.12,,,,,,,,,,,,,,,,
5L_Satellite,Lac,0.29,0.69,,,,,,,,,,,,,,,,
5L_Satellite,NH4,1,1.08,,,,,,,,,,,,,,,,
5L_Satellite,pH,7.264,7.215,,,,,,,,,,,,,,,,
5L_Satellite,pCO2,30.3,23.7,,,,,,,,,,,,,,,,
5L_Satellite,OSM,290,286,,,,,,,,,,,,,,,,
2L_Scout,VCD,1.06,2.27,4.5,9.63,17.61,,,,,,,,,,,,,
2L_Scout,VIA,99.7,99.6,99.5,99.5,99.4,,,,,,,,,,,,,
2L_Scout,Gluc,5.16,4.16,3.25,5.25,3.33,,,,,,,,,,,,,
2L_Scout,Lac,0.2,0.69,1.3,1.85,1.83,,,,,,,,,,,,,
2L_Scout,NH4,0.87,0.99,1.37,2.59,3.05,,,,,,,,,,,,,
2L_Scout,pH,7.224,7.236,6.938,6.771,6.797,,,,,,,,,,,,,
2L_Scout,pCO2,38.1,22.7,21.3,,22.8,,,,,,,,,,,,,
2L_Scout,OSM,289,285,280,324,305,,,,,,,,,,,,,
